['257', '338', '216', '480', '147', '226', '420', '479', '178', '7']
['287', '320', '483', '409', '175', '224', '180', '424', '113', '176']
['312', '50', '358', '427', '436', '213', '128', '24', '470', '309']
['157', '497', '368', '412', '102', '408', '346', '374', '242', '109']
['486', '27', '245', '11', '389', '449', '18', '277', '103', '222']
['476', '171', '86', '305', '28', '59', '225', '200', '187', '457']
['453', '101', '460', '74', '298', '255', '388', '32', '419', '339']
['235', '431', '105', '194', '437', '433', '261', '120', '330', '256']
['387', '230', '167', '22', '259', '332', '428', '407', '430', '17']
['397', '335', '173', '77', '275', '363', '51', '385', '90', '350']
['47', '349', '299', '215', '68', '203', '141', '394', '229', '64']
['66', '60', '151', '191', '370', '311', '202', '274', '413', '139']
['236', '477', '238', '30', '496', '110', '221', '378', '204', '439']
['211', '465', '440', '401', '377', '169', '308', '482', '54', '73']
['129', '379', '288', '492', '317', '21', '172', '481', '352', '263']
['170', '251', '182', '92', '70', '231', '410', '156', '223', '168']
['302', '206', '134', '272', '434', '96', '148', '41', '445', '91']
['485', '195', '26', '46', '42', '63', '441', '469', '316', '240']
['239', '159', '467', '115', '471', '118', '369', '472', '53', '144']
['373', '199', '322', '478', '328', '89', '138', '455', '324', '5']
['4', '493', '65', '260', '446', '44', '353', '161', '142', '333']
['271', '97', '415', '130', '435', '273', '402', '301', '158', '300']
['414', '281', '82', '49', '19', '462', '451', '498', '146', '362']
['314', '252', '106', '207', '351', '382', '243', '233', '58', '393']
['307', '80', '37', '108', '292', '383', '99', '165', '133', '95']
['295', '442', '104', '193', '69', '327', '367', '52', '306', '342']
['143', '325', '177', '323', '280', '188', '67', '183', '79', '452']
['192', '16', '418', '116', '94', '10', '319', '380', '456', '411']
['209', '190', '48', '234', '244', '3', '140', '417', '459', '432']
['179', '13', '201', '283', '210', '398', '189', '205', '426', '458']
['45', '83', '72', '71', '489', '381', '303', '403', '155', '12']
['36', '360', '98', '76', '337', '25', '186', '490', '152', '208']
['111', '265', '55', '356', '254', '375', '396', '56', '29', '123']
['20', '376', '291', '31', '218', '313', '246', '93', '468', '87']
['392', '198', '75', '34', '290', '448', '357', '454', '39', '33']
['269', '499', '85', '461', '145', '495', '361', '296', '390', '232']
['61', '88', '1', '463', '310', '399', '443', '184', '262', '125']
['197', '8', '135', '391', '354', '119', '214', '136', '43', '285']
['57', '2', '163', '438', '162', '474', '294', '121', '293', '264']
['9', '359', '279', '444', '386', '429', '220', '81', '344', '289']
['321', '416', '422', '124', '267', '384', '40', '278', '249', '421']
['160', '0', '15', '329', '348', '304', '326', '127', '405', '345']
['466', '250', '331', '334', '355', '14', '84', '447', '484', '258']
['266', '425', '131', '114', '423', '336', '137', '212', '227', '185']
['270', '494', '150', '491', '347', '38', '132', '286', '247', '464']
['395', '248', '78', '341', '488', '166', '450', '404', '217', '62']
['406', '154', '117', '112', '372', '228', '100', '282', '237', '366']
['6', '219', '475', '153', '343', '35', '126', '181', '107', '340']
['241', '276', '315', '23', '149', '174', '268', '487', '253', '364']
['371', '400', '318', '284', '365', '196', '297', '122', '164', '473']
