['99', '222', '378', '183', '657', '118', '11']
['98', '682', '632', '630', '568', '432', '101']
['972', '780', '680', '542', '366', '304', '204']
['971', '830', '784', '774', '726', '566', '409']
['970', '745', '652', '441', '203', '405', '201']
['97', '654', '407', '391', '277', '72', '403']
['969', '750', '636', '629', '433', '153', '807']
['968', '819', '795', '755', '655', '66', '200']
['967', '751', '532', '528', '387', '298', '803']
['966', '813', '650', '507', '314', '48', '400']
['965', '597', '308', '170', '36', '399', '398']
['964', '839', '662', '567', '388', '349', '198']
['963', '627', '205', '180', '35', '241', '23']
['962', '663', '531', '321', '259', '196', '783']
['961', '556', '423', '345', '390', '194', '389']
['960', '808', '760', '712', '464', '124', '193']
['96', '699', '484', '242', '385', '2', '192']
['959', '687', '191', '116', '10', '189', '759']
['958', '737', '545', '491', '470', '22', '188']
['957', '838', '653', '511', '356', '289', '377']
['956', '495', '376', '375', '186', '372', '185']
['955', '757', '729', '618', '534', '61', '371']
['954', '624', '494', '293', '253', '38', '743']
['953', '747', '666', '466', '346', '331', '370']
['952', '526', '443', '374', '338', '327', '184']
['951', '538', '334', '263', '187', '29', '369']
['950', '616', '562', '496', '238', '137', '368']
['95', '589', '639', '505', '245', '211', '735']
['949', '715', '574', '465', '440', '363', '361']
['948', '612', '486', '402', '382', '723', '360']
['947', '719', '358', '26', '711', '227', '176']
['946', '353', '707', '104', '348', '173', '20']
['945', '722', '108', '63', '172', '691', '343']
['944', '342', '341', '105', '169', '339', '337']
['943', '336', '167', '335', '671', '166', '333']
['942', '332', '19', '659', '163', '326', '162']
['941', '754', '724', '583', '233', '54', '325']
['940', '790', '416', '288', '126', '55', '651']
['94', '365', '733', '703', '527', '232', '161']
['939', '620', '235', '139', '323', '160', '320']
['938', '623', '595', '384', '268', '197', '159']
['937', '727', '426', '404', '397', '182', '319']
['936', '764', '587', '481', '438', '295', '158']
['935', '603', '357', '236', '317', '3', '316']
['934', '833', '728', '705', '518', '6', '631']
['933', '772', '557', '352', '266', '199', '156']
['932', '313', '312', '310', '309', '619', '307']
['931', '748', '570', '471', '367', '615', '152']
['930', '775', '684', '106', '305', '302', '150']
['93', '669', '492', '429', '599', '324', '301']
['929', '740', '665', '577', '286', '168', '300']
['928', '672', '660', '549', '396', '297', '299']
['927', '625', '593', '284', '228', '221', '17']
['926', '763', '148', '123', '112', '59', '147']
['925', '417', '315', '115', '83', '51', '294']
['924', '736', '513', '487', '171', '155', '146']
['923', '144', '143', '287', '142', '283', '16']
['922', '640', '575', '469', '379', '71', '140']
['921', '318', '281', '279', '559', '138', '555']
['920', '576', '501', '237', '154', '75', '276']
