['19', '111', '116', '180', '243', '273', '283', '324', '384', '560']
['120', '303', '336', '345', '426', '491', '635', '906', '976', '991']
['209', '229', '271', '306', '532', '566', '626', '727', '852', '930']
['8', '9', '107', '162', '291', '689', '817', '842', '868', '907']
['3', '23', '30', '51', '59', '212', '334', '365', '369', '451']
['66', '144', '193', '195', '553', '595', '881', '965', '966', '990']
['81', '135', '366', '481', '632', '656', '773', '788', '918', '946']
['110', '167', '327', '593', '661', '734', '799', '871', '886', '893']
['312', '357', '445', '679', '709', '720', '771', '900', '929', '993']
['42', '152', '407', '452', '485', '701', '887', '909', '988', '996']
['2', '71', '175', '179', '202', '261', '454', '629', '717', '903']
['187', '267', '299', '367', '418', '782', '864', '884', '940', '951']
['94', '205', '333', '408', '425', '437', '460', '466', '483', '674']
['22', '37', '58', '198', '226', '385', '456', '502', '514', '561']
['95', '265', '280', '343', '670', '673', '934', '947', '956', '962']
['196', '360', '505', '529', '563', '739', '741', '774', '824', '846']
['78', '182', '259', '413', '442', '492', '652', '693', '785', '890']
['62', '132', '160', '242', '249', '258', '279', '305', '501', '515']
['148', '232', '278', '371', '373', '473', '612', '794', '898', '974']
['253', '275', '506', '538', '640', '645', '702', '721', '853', '941']
['12', '13', '17', '339', '374', '509', '555', '618', '657', '663']
['21', '56', '70', '84', '157', '317', '320', '359', '389', '503']
['105', '189', '300', '335', '510', '641', '664', '705', '911', '916']
['5', '24', '590', '592', '600', '836', '943', '957', '960', '989']
['46', '211', '536', '596', '821', '899', '917', '971', '979', '983']
['106', '159', '257', '268', '436', '527', '604', '671', '712', '724']
['142', '489', '521', '569', '597', '735', '756', '762', '784', '827']
['36', '64', '151', '169', '266', '423', '582', '750', '856', '895']
['79', '201', '204', '208', '270', '440', '441', '537', '559', '577']
['99', '136', '330', '411', '469', '493', '567', '654', '789', '826']
['87', '134', '227', '269', '304', '361', '539', '575', '599', '776']
['53', '77', '156', '250', '326', '394', '457', '486', '631', '669']
['112', '197', '203', '234', '332', '364', '368', '518', '703', '713']
['68', '113', '124', '238', '239', '409', '447', '531', '550', '662']
['11', '119', '284', '325', '386', '396', '484', '605', '619', '624']
['446', '500', '625', '630', '685', '845', '870', '894', '925', '959']
['166', '170', '251', '376', '427', '475', '512', '676', '740', '751']
['0', '18', '33', '125', '126', '176', '292', '307', '310', '378']
['293', '372', '495', '534', '607', '643', '764', '820', '851', '902']
['69', '97', '309', '472', '508', '655', '706', '719', '759', '837']
['26', '34', '490', '608', '644', '729', '738', '908', '922', '931']
['73', '85', '828', '834', '867', '883', '949', '950', '958', '961']
['10', '91', '118', '194', '488', '691', '697', '757', '779', '859']
['4', '88', '150', '214', '272', '342', '399', '616', '672', '718']
['98', '388', '400', '406', '416', '417', '647', '678', '761', '806']
['32', '186', '247', '340', '420', '430', '459', '494', '700', '714']
['461', '480', '660', '736', '777', '791', '816', '873', '879', '968']
['72', '254', '282', '443', '542', '646', '690', '722', '732', '838']
['109', '147', '252', '421', '455', '565', '742', '754', '770', '815']
['14', '29', '44', '82', '237', '296', '463', '574', '684', '928']
['143', '316', '355', '476', '683', '696', '723', '780', '858', '861']
['52', '285', '337', '393', '564', '639', '675', '748', '811', '863']
['571', '578', '587', '711', '769', '813', '829', '874', '901', '924']
['139', '218', '390', '470', '535', '617', '658', '699', '793', '832']
['40', '129', '224', '276', '331', '448', '471', '570', '620', '772']
['83', '191', '277', '290', '377', '688', '737', '752', '804', '936']
['158', '163', '236', '308', '328', '347', '370', '404', '467', '482']
['41', '164', '199', '747', '755', '801', '807', '823', '839', '944']
