['6', '44', '439', '13', '527', '33', '980', '443', '464', '790']
['35', '992', '569', '413', '238', '604', '467', '975', '490', '615']
['41', '786', '347', '545', '890', '568', '839', '696', '704', '966']
['4', '5', '860', '570', '784', '97', '448', '463', '823', '967']
['22', '370', '152', '109', '737', '230', '671', '398', '582', '501']
['36', '511', '118', '171', '228', '260', '499', '894', '99', '442']
['52', '351', '262', '939', '268', '750', '566', '597', '952', '45']
['226', '999', '878', '327', '868', '572', '956', '598', '928', '764']
['12', '669', '216', '574', '55', '622', '960', '21', '819', '833']
['3', '911', '222', '179', '275', '182', '932', '898', '346', '494']
['0', '143', '117', '620', '732', '366', '471', '82', '86', '430']
['286', '503', '700', '778', '49', '199', '759', '776', '948', '971']
['224', '415', '320', '326', '551', '418', '889', '263', '606', '440']
['394', '408', '935', '421', '779', '453', '636', '517', '798', '968']
['105', '893', '288', '821', '324', '371', '192', '266', '274', '751']
['160', '855', '801', '424', '586', '951', '151', '685', '742', '783']
['902', '965', '17', '175', '207', '575', '739', '891', '905', '950']
['195', '258', '529', '610', '734', '808', '846', '882', '906', '910']
['148', '943', '666', '635', '994', '96', '325', '824', '844', '974']
['132', '659', '294', '174', '733', '887', '593', '299', '814', '930']
['315', '624', '349', '817', '396', '460', '514', '428', '830', '831']
['920', '332', '800', '487', '536', '957', '411', '989', '626', '540']
['24', '809', '186', '559', '822', '774', '469', '470', '825', '982']
['23', '210', '140', '136', '496', '850', '180', '201', '189', '964']
['26', '208', '913', '331', '329', '393', '730', '953', '410', '904']
['57', '810', '359', '770', '919', '383', '426', '389', '885', '513']
['84', '141', '451', '978', '161', '713', '567', '914', '927', '866']
['170', '173', '741', '172', '486', '847', '251', '602', '484', '875']
['162', '178', '587', '200', '345', '441', '862', '981', '588', '725']
['119', '121', '150', '202', '293', '357', '378', '708', '828', '995']
['380', '881', '128', '248', '360', '377', '476', '515', '797', '990']
['120', '936', '145', '147', '149', '163', '204', '379', '407', '837']
['123', '723', '243', '276', '876', '552', '650', '502', '616', '843']
['159', '385', '257', '358', '72', '80', '134', '167', '512', '745']
['158', '432', '722', '68', '71', '111', '114', '506', '563', '892']
['497', '665', '762', '955', '104', '250', '253', '301', '465', '925']
['100', '116', '133', '203', '249', '282', '468', '510', '526', '988']
['19', '409', '28', '841', '304', '962', '277', '369', '565', '997']
['27', '922', '241', '399', '431', '609', '763', '667', '423', '705']
['65', '630', '446', '233', '757', '457', '478', '550', '720', '996']
['295', '310', '455', '580', '613', '710', '729', '749', '818', '929']
['343', '361', '368', '693', '714', '829', '834', '835', '921', '931']
['372', '374', '401', '417', '543', '571', '617', '629', '631', '912']
['183', '607', '211', '245', '240', '993', '832', '234', '578', '475']
['32', '242', '108', '806', '305', '608', '284', '573', '477', '554']
['217', '392', '820', '289', '416', '874', '480', '482', '530', '533']
['70', '541', '176', '307', '747', '812', '788', '937', '300', '709']
['106', '690', '124', '867', '269', '25', '66', '338', '683', '815']
['244', '252', '444', '660', '694', '717', '735', '744', '746', '787']
['125', '144', '235', '239', '246', '247', '376', '534', '555', '556']
['101', '330', '491', '492', '581', '632', '664', '677', '853', '564']
['16', '859', '794', '963', '83', '336', '95', '272', '508', '758']
['38', '525', '261', '944', '805', '339', '483', '547', '639', '495']
['31', '991', '403', '110', '445', '811', '869', '793', '873', '917']
['30', '187', '984', '255', '961', '433', '748', '756', '792', '872']
['306', '308', '427', '596', '672', '673', '765', '771', '845', '879']
['259', '743', '485', '827', '29', '64', '74', '772', '849', '796']
['63', '481', '214', '437', '505', '237', '364', '699', '595', '15']
['77', '194', '644', '130', '909', '969', '209', '870', '279', '473']
['156', '718', '436', '674', '711', '523', '558', '544', '840', '842']
['113', '687', '313', '350', '362', '397', '655', '766', '852', '942']
['53', '54', '88', '89', '197', '402', '761', '857', '858', '861']
['39', '601', '267', '169', '504', '712', '278', '283', '333', '589']
['37', '871', '42', '264', '177', '314', '775', '198', '472', '532']
['34', '721', '466', '236', '924', '641', '856', '654', '658', '303']
['231', '753', '684', '553', '462', '740', '522', '888', '302', '405']
['50', '682', '493', '297', '422', '897', '546', '623', '585', '727']
['524', '647', '2', '218', '270', '599', '628', '880', '945', '947']
['254', '419', '356', '321', '895', '353', '447', '656', '535', '915']
['298', '851', '461', '706', '663', '724', '979', '8', '20', '219']
['296', '400', '651', '698', '686', '972', '223', '229', '285', '291']
['51', '287', '103', '780', '154', '612', '531', '9', '290', '292']
['90', '122', '404', '678', '681', '14', '232', '271', '280', '958']
['265', '438', '864', '452', '341', '777', '354', '865', '645', '987']
['56', '738', '112', '781', '142', '803', '406', '653', '983', '985']
['43', '854', '61', '412', '537', '454', '926', '813', '98', '903']
['941', '191', '334', '363', '388', '863', '838', '562', '676', '702']
['67', '528', '102', '804', '387', '193', '373', '807', '560', '795']
['18', '126', '146', '561', '429', '579', '594', '309', '318', '716']
['590', '697', '600', '799', '215', '311', '312', '316', '435', '907']
['48', '78', '93', '94', '139', '185', '188', '190', '382', '976']
['127', '227', '138', '220', '425', '661', '657', '954', '652', '986']
['47', '789', '949', '92', '621', '355', '614', '649', '754', '498']
['76', '695', '129', '225', '791', '640', '434', '736', '323', '785']
['58', '165', '886', '611', '625', '46', '59', '317', '548', '549']
['196', '715', '521', '773', '557', '973', '375', '670', '679', '688']
['60', '760', '40', '155', '342', '420', '701', '703', '752', '977']
['81', '603', '115', '923', '7', '390', '489', '916', '934', '642']
['91', '689', '135', '153', '755', '256', '731', '539', '769', '946']
['166', '767', '877', '680', '802', '707', '726', '1', '62', '157']
['69', '848', '456', '900', '577', '618', '386', '391', '542', '592']
['458', '728', '646', '970', '605', '638', '643', '662', '896', '899']
['87', '328', '164', '184', '479', '488', '591', '627', '634', '675']
['206', '414', '395', '381', '516', '918', '816', '137', '367', '883']
['73', '633', '79', '520', '205', '519', '273', '933', '940', '365']
['459', '768', '619', '998', '75', '337', '500', '583', '938', '959']
['131', '212', '352', '538', '213', '344', '348', '384', '884', '901']
['507', '474', '826', '509', '319', '322', '340', '449', '584', '668']
['11', '637', '691', '85', '107', '576', '168', '450', '719', '908']
['10', '648', '181', '518', '221', '281', '836', '335', '692', '782']
