['752', '427', '349', '360', '651', '740', '255', '559', '7', '289']
['630', '646', '216', '280', '895', '803', '871', '682', '512', '433']
['758', '257', '281', '331', '318', '536', '923', '664', '856', '450']
['77', '902', '510', '986', '887', '182', '495', '152', '410', '757']
['9', '683', '412', '48', '845', '35', '968', '165', '603', '81']
['546', '312', '466', '336', '137', '361', '424', '947', '572', '327']
['598', '807', '372', '737', '49', '405', '692', '122', '615', '720']
['530', '888', '387', '283', '801', '461', '665', '893', '306', '73']
['16', '287', '717', '624', '734', '528', '224', '950', '249', '350']
['371', '135', '626', '346', '118', '978', '855', '417', '969', '339']
['718', '906', '702', '905', '878', '916', '773', '357', '754', '770']
['880', '866', '219', '423', '343', '828', '374', '308', '884', '709']
['649', '214', '705', '716', '746', '681', '301', '411', '715', '946']
['618', '989', '453', '850', '848', '593', '966', '842', '352', '256']
['673', '817', '678', '725', '548', '172', '99', '843', '541', '933']
['269', '970', '207', '509', '189', '180', '185', '156', '334', '344']
['8', '65', '358', '304', '36', '976', '498', '714', '39', '232']
['467', '414', '794', '351', '704', '378', '44', '155', '973', '623']
['832', '881', '497', '765', '957', '399', '407', '960', '840', '558']
['210', '171', '851', '787', '703', '550', '93', '999', '142', '956']
['85', '815', '774', '480', '907', '116', '741', '616', '113', '482']
['416', '576', '251', '34', '108', '726', '679', '735', '520', '429']
['391', '368', '60', '186', '398', '383', '435', '103', '869', '586']
['50', '707', '76', '196', '166', '611', '158', '484', '814', '404']
['15', '997', '521', '861', '729', '693', '174', '181', '136', '432']
['425', '440', '859', '583', '365', '31', '238', '932', '820', '470']
['824', '579', '328', '40', '830', '18', '268', '293', '788', '54']
['415', '28', '382', '243', '141', '609', '659', '809', '355', '125']
['4', '106', '674', '19', '810', '448', '657', '316', '584', '370']
['241', '422', '359', '112', '587', '985', '146', '79', '178', '222']
['750', '779', '806', '147', '816', '666', '353', '668', '531', '452']
['723', '322', '74', '569', '1', '785', '30', '995', '802', '333']
['566', '622', '844', '660', '567', '402', '903', '473', '162', '458']
['197', '377', '114', '728', '670', '732', '455', '132', '687', '500']
['111', '768', '338', '408', '846', '592', '413', '831', '366', '17']
['209', '557', '502', '927', '617', '177', '778', '96', '944', '263']
['967', '900', '491', '556', '348', '518', '104', '890', '188', '282']
['143', '891', '443', '463', '863', '552', '553', '547', '72', '217']
['83', '506', '588', '563', '685', '949', '91', '24', '540', '286']
['930', '170', '590', '80', '926', '981', '782', '538', '910', '285']
['57', '97', '690', '335', '190', '595', '854', '667', '184', '487']
['633', '442', '915', '686', '138', '479', '607', '69', '578', '11']
['199', '637', '879', '315', '600', '634', '110', '324', '793', '965']
['747', '508', '645', '825', '834', '206', '883', '220', '393', '873']
['329', '898', '800', '835', '240', '922', '661', '148', '237', '756']
['605', '918', '713', '302', '248', '658', '267', '88', '446', '721']
['379', '954', '608', '102', '525', '369', '84', '739', '5', '340']
['771', '796', '298', '501', '23', '675', '535', '992', '87', '309']
['314', '955', '691', '434', '489', '451', '233', '67', '385', '629']
['938', '401', '962', '532', '804', '544', '41', '853', '441', '606']
['551', '341', '908', '311', '202', '599', '278', '38', '481', '426']
['640', '150', '27', '795', '167', '292', '100', '296', '941', '676']
['943', '636', '762', '320', '94', '303', '297', '472', '208', '631']
['179', '392', '811', '92', '380', '221', '52', '109', '253', '516']
['271', '642', '555', '781', '356', '194', '490', '53', '909', '924']
['560', '82', '105', '813', '688', '998', '469', '144', '653', '604']
['195', '798', '276', '145', '561', '212', '58', '154', '671', '223']
['776', '710', '974', '46', '151', '89', '602', '755', '724', '227']
['373', '326', '639', '284', '826', '274', '187', '791', '363', '403']
['270', '157', '904', '477', '460', '10', '200', '963', '596', '539']
['899', '797', '265', '648', '763', '254', '242', '56', '942', '945']
['984', '708', '742', '862', '231', '573', '993', '784', '961', '625']
['476', '436', '977', '833', '386', '437', '447', '568', '585', '839']
['236', '26', '259', '934', '313', '829', '70', '524', '51', '991']
['760', '971', '570', '37', '317', '42', '246', '767', '456', '121']
['749', '761', '32', '323', '680', '822', '727', '858', '262', '139']
['45', '952', '161', '176', '743', '901', '808', '6', '711', '475']
['896', '307', '163', '731', '748', '669', '367', '193', '43', '250']
['621', '485', '877', '928', '203', '554', '736', '777', '300', '330']
['239', '295', '235', '47', '733', '449', '620', '769', '468', '925']
['885', '211', '119', '864', '662', '272', '213', '149', '63', '542']
['266', '792', '376', '438', '75', '644', '126', '123', '258', '430']
['849', '594', '305', '59', '597', '310', '533', '527', '396', '459']
['252', '601', '632', '492', '870', '766', '706', '612', '457', '247']
