['27', '42', '53', '86', '140', '222', '287', '319', '392', '452']
['16', '58', '83', '229', '235', '252', '278', '393', '398', '445']
['20', '118', '128', '163', '208', '218', '223', '253', '382', '435']
['63', '64', '162', '201', '284', '332', '425', '487', '496', '488']
['45', '71', '142', '192', '216', '220', '244', '257', '305', '366']
['50', '87', '131', '228', '307', '323', '361', '457', '489', '495']
['80', '91', '225', '374', '381', '386', '401', '409', '454', '485']
['66', '141', '191', '202', '262', '268', '297', '301', '335', '376']
['73', '188', '197', '291', '299', '316', '353', '380', '388', '479']
['10', '14', '59', '81', '155', '385', '397', '414', '430', '492']
['1', '15', '115', '144', '174', '245', '349', '356', '378', '497']
['60', '117', '135', '154', '243', '254', '346', '402', '433', '467']
['9', '51', '175', '250', '264', '265', '306', '364', '482', '464']
['97', '102', '293', '309', '324', '383', '389', '419', '483', '461']
['126', '158', '168', '230', '276', '282', '317', '342', '351', '396']
['33', '110', '127', '200', '232', '258', '263', '300', '406', '415']
['47', '180', '213', '240', '277', '371', '427', '432', '448', '493']
['24', '35', '44', '52', '72', '111', '147', '272', '337', '355']
['34', '98', '130', '157', '166', '179', '184', '242', '341', '475']
['67', '116', '137', '303', '327', '344', '399', '431', '436', '462']
['30', '37', '43', '79', '103', '204', '354', '455', '466', '486']
['100', '122', '136', '186', '239', '281', '310', '318', '363', '465']
['149', '151', '198', '227', '339', '358', '394', '412', '442', '500']
['77', '82', '105', '113', '148', '159', '165', '256', '362', '458']
['48', '96', '226', '234', '259', '288', '308', '313', '375', '450']
['8', '12', '40', '57', '156', '195', '246', '267', '372', '424']
['54', '129', '215', '260', '270', '285', '369', '373', '426', '481']
['22', '26', '76', '93', '104', '109', '251', '286', '325', '491']
['124', '176', '237', '273', '274', '331', '439', '451', '476', '468']
['65', '70', '78', '106', '132', '152', '294', '298', '330', '471']
['56', '89', '169', '214', '217', '233', '311', '312', '387', '443']
['19', '55', '94', '153', '187', '189', '283', '343', '390', '446']
['95', '114', '177', '211', '290', '320', '411', '413', '437', '456']
['5', '29', '85', '139', '145', '212', '269', '295', '348', '441']
['46', '134', '170', '266', '333', '340', '359', '391', '403', '469']
['6', '7', '123', '178', '209', '247', '302', '315', '328', '480']
['39', '74', '75', '190', '231', '248', '459', '473', '474', '499']
['3', '13', '125', '161', '171', '181', '314', '357', '395', '460']
['2', '21', '62', '101', '185', '193', '221', '338', '421', '428']
['121', '143', '172', '241', '280', '322', '352', '404', '463', '470']
['18', '88', '146', '167', '203', '207', '249', '261', '334', '494']
['68', '69', '84', '92', '119', '196', '367', '370', '416', '418']
['32', '160', '238', '289', '345', '365', '417', '449', '477', '498']
['11', '99', '138', '255', '279', '377', '379', '384', '407', '420']
['38', '90', '133', '194', '224', '400', '423', '438', '453', '472']
['31', '49', '61', '120', '183', '236', '292', '368', '429', '434']
['17', '25', '210', '271', '275', '336', '347', '422', '447', '478']
['4', '28', '107', '205', '329', '350', '360', '405', '440', '490']
['36', '41', '112', '164', '182', '206', '296', '304', '321', '408']
['23', '108', '150', '173', '199', '219', '326', '410', '444', '484']
