['23', '50', '83', '124', '159', '185', '198', '234', '235', '252', '255', '287', '290', '316', '341', '356', '373', '376', '379', '437', '450', '452', '463', '470', '503', '520', '553', '584', '592', '595', '599', '633', '641', '687', '697', '710', '712', '742', '782', '793', '797', '810', '859', '864', '879', '930', '944', '952', '961', '965']
['25', '40', '68', '77', '88', '98', '102', '123', '140', '142', '220', '232', '240', '326', '351', '401', '411', '415', '425', '426', '478', '521', '527', '544', '550', '563', '596', '608', '616', '636', '663', '679', '705', '730', '774', '800', '803', '812', '818', '836', '846', '847', '878', '914', '929', '937', '945', '987', '998', '996']
['31', '37', '51', '56', '67', '72', '76', '131', '134', '146', '179', '180', '181', '218', '230', '266', '301', '307', '313', '410', '469', '475', '489', '497', '508', '511', '569', '572', '589', '615', '671', '689', '690', '753', '764', '769', '770', '781', '788', '804', '814', '817', '838', '844', '885', '903', '911', '919', '954', '958']
['15', '18', '20', '35', '59', '89', '132', '150', '177', '183', '219', '261', '309', '388', '390', '391', '396', '422', '444', '473', '474', '501', '513', '585', '587', '601', '617', '658', '708', '744', '745', '748', '758', '776', '779', '796', '806', '809', '819', '825', '830', '831', '842', '848', '851', '890', '917', '943', '953', '962']
['30', '58', '108', '110', '129', '210', '246', '268', '269', '293', '310', '311', '315', '323', '327', '343', '344', '349', '408', '464', '488', '500', '516', '554', '610', '611', '638', '672', '680', '703', '722', '760', '775', '821', '841', '850', '852', '856', '860', '863', '882', '891', '902', '913', '947', '970', '975', '976', '990', '999']
['8', '38', '54', '104', '106', '157', '167', '172', '184', '189', '194', '204', '213', '222', '224', '236', '260', '263', '274', '319', '331', '346', '370', '384', '399', '428', '467', '519', '525', '534', '566', '567', '579', '639', '640', '698', '711', '728', '757', '772', '805', '811', '835', '876', '887', '918', '927', '936', '956', '966']
['10', '49', '64', '74', '94', '97', '133', '135', '137', '143', '144', '152', '270', '282', '345', '371', '383', '385', '460', '560', '573', '593', '621', '629', '656', '657', '682', '699', '707', '709', '727', '732', '743', '785', '798', '840', '843', '866', '867', '868', '871', '877', '908', '915', '938', '949', '951', '983', '992', '971']
['1', '26', '69', '87', '90', '92', '95', '107', '117', '119', '164', '171', '192', '202', '231', '241', '248', '299', '329', '335', '369', '382', '398', '414', '447', '505', '517', '537', '564', '571', '577', '590', '591', '597', '619', '650', '664', '695', '704', '783', '784', '786', '816', '820', '829', '858', '873', '980', '988', '995']
['85', '99', '105', '111', '112', '121', '136', '147', '238', '265', '275', '278', '303', '312', '322', '334', '339', '361', '419', '424', '439', '459', '480', '485', '493', '502', '529', '530', '546', '559', '600', '627', '637', '646', '667', '668', '681', '715', '725', '726', '740', '746', '751', '754', '778', '832', '898', '924', '926', '928']
['9', '55', '62', '63', '70', '82', '86', '91', '100', '115', '165', '166', '201', '206', '212', '251', '258', '286', '302', '355', '367', '368', '380', '389', '392', '440', '442', '451', '496', '528', '536', '552', '565', '612', '630', '631', '653', '685', '734', '738', '755', '756', '799', '854', '861', '906', '925', '941', '978', '991']
['28', '41', '44', '48', '113', '141', '182', '187', '193', '205', '221', '237', '243', '314', '358', '374', '394', '403', '407', '416', '423', '431', '446', '449', '471', '538', '541', '547', '548', '549', '570', '588', '603', '620', '634', '674', '676', '686', '702', '768', '773', '801', '807', '824', '834', '839', '880', '892', '963', '973']
['4', '81', '96', '103', '158', '160', '200', '215', '247', '254', '259', '276', '318', '336', '359', '375', '395', '405', '418', '434', '443', '477', '479', '484', '498', '522', '540', '583', '586', '602', '609', '614', '622', '635', '652', '662', '666', '673', '677', '716', '763', '789', '855', '883', '901', '922', '932', '933', '942', '968']
['0', '13', '33', '39', '46', '71', '78', '79', '186', '190', '199', '211', '272', '279', '280', '281', '338', '354', '400', '420', '445', '486', '510', '524', '558', '576', '598', '628', '632', '675', '688', '701', '718', '729', '737', '761', '765', '767', '787', '790', '828', '837', '849', '874', '884', '946', '950', '972', '979', '993']
