['340', '146', '141', '681', '408', '624', '450', '175', '324', '777', '128', '148', '577', '736', '463', '438', '119', '427', '46', '113']
['293', '275', '143', '399', '81', '84', '249', '178', '16', '321', '771', '79', '121', '360', '61', '64', '731', '735', '737', '472']
['192', '279', '32', '747', '622', '400', '705', '702', '585', '589', '654', '774', '318', '163', '4', '205', '422', '300', '607', '49']
['716', '714', '526', '433', '93', '741', '689', '392', '397', '584', '186', '756', '690', '541', '365', '352', '351', '359', '739', '722']
['274', '525', '599', '38', '490', '405', '704', '86', '515', '629', '569', '666', '660', '124', '413', '786', '571', '255', '226', '40']
['276', '640', '647', '231', '404', '401', '395', '583', '244', '519', '620', '628', '73', '699', '604', '358', '114', '420', '303', '489']
['524', '642', '645', '334', '550', '140', '134', '451', '12', '75', '769', '389', '213', '763', '673', '535', '530', '111', '725', '729']
['295', '197', '440', '36', '491', '700', '394', '328', '208', '71', '319', '381', '639', '51', '536', '534', '309', '508', '229', '228']
['195', '100', '90', '92', '680', '130', '376', '601', '14', '664', '546', '126', '136', '633', '635', '637', '288', '531', '609', '469']
['272', '746', '683', '495', '497', '188', '189', '659', '19', '694', '543', '386', '67', '214', '760', '262', '265', '305', '464', '223']
['341', '102', '743', '749', '24', '372', '176', '171', '187', '207', '634', '281', '677', '58', '426', '566', '225', '224', '474', '728']
['715', '606', '37', '748', '684', '453', '243', '548', '313', '368', '387', '388', '156', '631', '671', '672', '144', '561', '484', '482']
['347', '31', '744', '153', '494', '373', '177', '320', '547', '419', '776', '579', '502', '215', '767', '772', '304', '568', '151', '155']
['717', '597', '335', '552', '612', '88', '517', '623', '695', '258', '734', '505', '210', '764', '289', '285', '201', '204', '565', '721']
['196', '444', '103', '34', '94', '378', '703', '594', '317', '730', '168', '357', '355', '766', '286', '428', '602', '159', '42', '480']
['342', '278', '521', '449', '646', '194', '701', '799', '183', '698', '787', '68', '69', '250', '467', '466', '267', '203', '115', '487']
['712', '590', '446', '555', '374', '377', '85', '779', '692', '542', '137', '384', '781', '354', '554', '564', '567', '720', '608', '478']
['711', '191', '270', '277', '644', '553', '87', '793', '510', '17', '209', '129', '259', '366', '785', '164', '439', '269', '150', '44']
['296', '27', '242', '182', '562', '206', '669', '697', '367', '780', '65', '506', '632', '353', '219', '679', '264', '55', '429', '158']
['349', '101', '339', '97', '131', '709', '621', '173', '2', '13', '312', '314', '363', '733', '169', '9', '750', '221', '391', '152']
['297', '190', '437', '338', '89', '235', '613', '458', '498', '23', '371', '459', '123', '410', '411', '311', '461', '167', '50', '222']
['598', '520', '431', '142', '403', '582', '588', '245', '246', '512', '651', '323', '578', '60', '254', '301', '727', '43', '476', '475']
['344', '345', '445', '33', '333', '616', '492', '707', '627', '658', '11', '310', '789', '160', '217', '675', '670', '263', '308', '48']
['713', '105', '435', '135', '580', '625', '650', '15', '322', '563', '72', '668', '417', '252', '66', '216', '283', '268', '724', '45']
['442', '237', '610', '685', '20', '370', '796', '149', '329', '653', '549', '415', '382', '570', '251', '161', '280', '676', '306', '751']
['529', '643', '436', '558', '557', '133', '499', '402', '170', '247', '456', '770', '691', '414', '418', '361', '162', '54', '537', '538']
['346', '343', '710', '593', '199', '447', '337', '559', '556', '1', '768', '248', '518', '514', '76', '630', '212', '282', '539', '773']
['596', '95', '96', '238', '230', '396', '795', '253', '661', '120', '765', '782', '62', '603', '110', '425', '181', '145', '154', '485']
['290', '273', '106', '30', '35', '239', '619', '617', '614', '452', '797', '753', '74', '693', '3', '460', '649', '800', '118', '726']
['198', '39', '330', '91', '686', '21', '179', '172', '10', '70', '545', '315', '385', '638', '762', '202', '532', '200', '560', '227']
['595', '718', '738', '108', '331', '98', '551', '139', '82', '794', '174', '656', '180', '325', '775', '696', '356', '757', '220', '483']
['592', '523', '409', '375', '706', '316', '496', '573', '257', '507', '166', '284', '261', '421', '468', '465', '488', '486', '481', '473']
['348', '299', '6', '513', '184', '18', '122', '218', '364', '383', '575', '574', '678', '424', '752', '755', '759', '470', '471', '477']
['745', '234', '611', '407', '241', '455', '657', '652', '326', '77', '655', '665', '544', '783', '636', '462', '211', '57', '112', '479']
['719', '298', '591', '527', '430', '233', '147', '25', '708', '393', '791', '7', '516', '457', '416', '369', '788', '56', '117', '754']
['528', '104', '434', '432', '232', '792', '581', '240', '778', '78', '662', '138', '380', '501', '165', '674', '533', '116', '758', '723']
['193', '448', '443', '742', '688', '132', '26', '29', '125', '390', '185', '663', '8', '504', '500', '648', '260', '423', '398', '509']
['271', '522', '641', '332', '99', '236', '615', '682', '540', '127', '362', '572', '576', '503', '761', '266', '59', '302', '80', '47']
['294', '291', '441', '618', '22', '406', '790', '587', '511', '626', '454', '667', '412', '784', '605', '256', '732', '350', '53', '52']
['292', '109', '107', '336', '740', '687', '493', '28', '379', '83', '798', '586', '327', '63', '600', '287', '307', '157', '5', '41']
