['0', '27', '45', '51', '63', '79', '131', '132', '298', '329', '414', '519', '525', '540', '542', '543', '603', '628', '642', '697', '808', '860', '938', '946', '969']
['12', '80', '268', '289', '340', '365', '403', '527', '528', '549', '599', '613', '637', '673', '678', '681', '717', '729', '736', '761', '786', '819', '862', '867', '879']
['35', '115', '119', '244', '259', '287', '312', '338', '392', '404', '536', '537', '557', '601', '630', '714', '723', '741', '754', '764', '772', '790', '869', '919', '959']
['5', '250', '316', '378', '379', '415', '464', '555', '583', '585', '586', '689', '693', '727', '728', '751', '771', '824', '843', '880', '881', '957', '961', '971', '990']
['14', '24', '36', '42', '56', '67', '82', '201', '240', '270', '319', '347', '445', '495', '529', '546', '554', '566', '593', '600', '619', '643', '651', '657', '873']
['165', '179', '189', '213', '249', '266', '318', '371', '377', '387', '485', '505', '589', '598', '668', '679', '712', '724', '730', '747', '778', '800', '830', '841', '889']
['29', '52', '53', '61', '170', '188', '275', '311', '385', '409', '443', '470', '496', '531', '620', '626', '676', '726', '842', '901', '915', '916', '954', '999', '991']
['20', '41', '84', '114', '162', '182', '191', '193', '200', '202', '221', '364', '427', '444', '501', '594', '625', '891', '902', '922', '932', '943', '962', '963', '968']
['8', '130', '212', '286', '332', '373', '448', '449', '465', '467', '520', '532', '576', '607', '670', '682', '685', '687', '725', '744', '753', '927', '942', '955', '964']
['1', '3', '46', '48', '121', '136', '152', '282', '391', '400', '422', '454', '604', '627', '635', '638', '789', '807', '838', '847', '877', '878', '895', '900', '958']
['4', '44', '62', '65', '113', '145', '206', '299', '313', '333', '334', '357', '416', '421', '475', '544', '591', '654', '659', '700', '718', '731', '831', '918', '930']
['72', '105', '120', '139', '141', '154', '223', '389', '396', '483', '622', '631', '644', '674', '695', '757', '765', '817', '825', '907', '928', '967', '979', '996', '940']
['32', '47', '55', '106', '210', '253', '258', '296', '488', '497', '500', '523', '578', '722', '735', '768', '781', '815', '855', '893', '903', '989', '997', '953', '970']
['2', '95', '101', '116', '304', '325', '362', '368', '399', '419', '432', '457', '458', '498', '503', '518', '550', '551', '636', '699', '742', '760', '876', '911', '926']
['98', '117', '194', '229', '267', '271', '278', '279', '291', '323', '341', '386', '398', '442', '474', '482', '568', '688', '732', '767', '813', '820', '887', '897', '944']
['15', '107', '123', '133', '148', '163', '238', '265', '300', '349', '354', '437', '477', '486', '510', '513', '526', '582', '694', '719', '756', '784', '852', '934', '960']
['126', '169', '198', '209', '228', '317', '330', '345', '381', '393', '406', '408', '430', '456', '645', '660', '680', '759', '777', '863', '912', '913', '939', '952', '988']
['13', '18', '75', '160', '218', '234', '280', '335', '336', '374', '447', '461', '469', '478', '481', '533', '592', '650', '708', '746', '782', '794', '816', '909', '976']
['21', '78', '153', '173', '184', '204', '208', '215', '260', '310', '397', '424', '491', '492', '538', '621', '639', '868', '882', '883', '894', '896', '947', '972', '995']
['16', '110', '174', '227', '261', '274', '294', '297', '320', '342', '353', '384', '429', '433', '455', '466', '502', '509', '581', '612', '629', '713', '799', '810', '839']
['7', '49', '97', '158', '177', '178', '183', '230', '276', '321', '327', '339', '367', '402', '423', '463', '484', '535', '584', '667', '711', '758', '769', '848', '978']
['102', '167', '226', '254', '290', '346', '372', '375', '382', '439', '451', '487', '572', '615', '617', '632', '648', '675', '703', '809', '835', '837', '856', '874', '905']
['111', '127', '135', '195', '197', '220', '224', '235', '252', '303', '361', '512', '562', '570', '640', '641', '652', '658', '691', '774', '853', '935', '965', '983', '998']
['17', '43', '64', '68', '77', '81', '186', '239', '246', '328', '383', '462', '468', '476', '514', '556', '573', '738', '762', '763', '814', '818', '864', '892', '945']
['57', '103', '134', '181', '237', '295', '322', '360', '405', '435', '507', '587', '588', '602', '669', '696', '709', '788', '827', '846', '851', '884', '904', '906', '933']
['31', '70', '94', '104', '147', '150', '180', '196', '262', '331', '413', '472', '515', '560', '623', '671', '705', '739', '780', '796', '801', '829', '840', '910', '982']
['9', '11', '89', '124', '144', '211', '251', '256', '305', '355', '369', '390', '428', '493', '590', '595', '656', '663', '684', '859', '886', '888', '985', '992', '949']
['40', '83', '118', '122', '149', '155', '161', '190', '207', '217', '301', '356', '380', '438', '565', '606', '715', '733', '748', '749', '795', '850', '854', '986', '948']
['26', '28', '39', '74', '99', '108', '164', '236', '242', '272', '283', '306', '308', '314', '351', '418', '431', '564', '575', '577', '706', '797', '798', '806', '885']
['96', '146', '157', '159', '219', '222', '231', '255', '292', '337', '366', '473', '517', '530', '552', '558', '633', '634', '698', '734', '773', '857', '890', '931', '936']
['6', '30', '71', '93', '129', '199', '245', '285', '350', '401', '412', '420', '434', '521', '563', '579', '618', '655', '665', '666', '716', '743', '805', '899', '924']
['37', '58', '87', '172', '216', '233', '241', '257', '263', '293', '309', '459', '553', '571', '596', '610', '755', '766', '821', '822', '858', '966', '980', '984', '981']
['25', '34', '54', '92', '281', '307', '326', '395', '410', '506', '524', '539', '559', '567', '597', '605', '647', '787', '875', '898', '917', '921', '923', '941', '994']
['19', '73', '76', '90', '137', '192', '203', '214', '288', '343', '376', '394', '411', '499', '516', '541', '649', '702', '750', '776', '811', '828', '832', '872', '974']
['50', '88', '156', '176', '248', '264', '358', '359', '440', '441', '450', '452', '453', '534', '561', '580', '624', '672', '692', '752', '783', '791', '870', '925', '937']
['33', '59', '86', '91', '100', '143', '168', '187', '302', '370', '480', '489', '490', '548', '662', '721', '740', '785', '812', '823', '833', '834', '861', '993', '973']
['22', '66', '112', '269', '284', '315', '363', '388', '407', '425', '479', '545', '547', '569', '609', '614', '653', '664', '737', '745', '779', '844', '871', '929', '977']
['69', '85', '109', '128', '138', '166', '175', '205', '344', '348', '460', '508', '511', '611', '661', '707', '770', '803', '845', '849', '908', '950', '975', '956', '987']
['23', '142', '185', '243', '273', '277', '417', '426', '436', '446', '504', '522', '608', '616', '646', '677', '690', '701', '720', '793', '826', '865', '866', '914', '951']
['10', '38', '60', '125', '140', '151', '171', '225', '232', '247', '324', '352', '471', '494', '574', '683', '686', '704', '710', '775', '792', '802', '804', '836', '920']
