['0', '4', '10', '13', '58', '70', '79', '83', '97', '121', '129', '169', '170', '193', '252', '279', '281', '346', '389', '391', '447', '467', '511', '582', '593', '655', '717', '723', '761', '798', '829', '849', '910', '939', '946', '955', '967', '975', '980', '994']
['18', '67', '81', '125', '167', '177', '206', '330', '362', '364', '390', '421', '437', '453', '483', '503', '532', '620', '656', '663', '768', '769', '770', '810', '877', '881', '883', '886', '900', '904', '941', '944', '959', '963', '965', '970', '971', '976', '979', '984']
['46', '64', '116', '134', '157', '249', '258', '280', '311', '313', '341', '353', '371', '373', '394', '407', '460', '480', '501', '537', '544', '573', '588', '603', '618', '622', '629', '650', '676', '678', '702', '724', '818', '839', '850', '860', '869', '919', '936', '937']
['2', '28', '35', '39', '59', '66', '74', '77', '96', '105', '140', '147', '178', '189', '201', '246', '254', '268', '306', '392', '404', '431', '471', '472', '484', '525', '527', '601', '619', '627', '644', '651', '687', '732', '734', '754', '782', '825', '859', '863']
['15', '20', '95', '102', '123', '138', '186', '190', '207', '239', '259', '282', '285', '326', '350', '355', '366', '370', '387', '405', '416', '429', '439', '442', '459', '465', '486', '494', '540', '561', '592', '598', '633', '639', '697', '708', '785', '789', '842', '851']
['36', '60', '65', '69', '76', '86', '101', '139', '168', '183', '192', '265', '267', '296', '348', '418', '425', '426', '427', '455', '464', '498', '504', '534', '551', '579', '652', '669', '674', '681', '686', '727', '746', '764', '775', '776', '783', '797', '812', '858']
['33', '41', '57', '61', '72', '137', '174', '214', '247', '256', '274', '320', '327', '386', '436', '452', '461', '462', '519', '529', '543', '563', '578', '580', '604', '637', '673', '689', '713', '784', '814', '817', '901', '914', '921', '933', '943', '954', '960', '964']
['44', '48', '52', '103', '106', '117', '132', '152', '158', '162', '196', '208', '230', '234', '260', '262', '263', '290', '310', '338', '349', '408', '432', '443', '449', '456', '470', '518', '526', '548', '559', '594', '610', '612', '664', '671', '692', '744', '756', '757']
['22', '53', '78', '135', '145', '161', '179', '191', '284', '286', '297', '298', '308', '328', '357', '359', '393', '396', '398', '415', '417', '440', '539', '556', '590', '599', '624', '685', '699', '750', '762', '765', '771', '826', '853', '857', '868', '885', '897', '909']
['24', '49', '62', '148', '156', '159', '171', '240', '242', '253', '318', '335', '343', '399', '403', '454', '479', '487', '522', '530', '552', '570', '597', '600', '611', '636', '658', '665', '700', '701', '760', '833', '899', '915', '918', '940', '947', '966', '981', '982']
['11', '16', '73', '85', '107', '114', '166', '199', '212', '271', '272', '287', '293', '303', '307', '312', '336', '345', '384', '444', '502', '507', '515', '558', '565', '572', '630', '632', '694', '703', '710', '719', '740', '796', '811', '866', '872', '875', '882', '935']
['8', '25', '34', '126', '136', '146', '153', '195', '203', '222', '225', '294', '334', '354', '360', '368', '369', '438', '457', '493', '509', '536', '659', '661', '716', '751', '832', '841', '848', '861', '890', '892', '898', '908', '922', '923', '927', '938', '951', '962']
['37', '43', '89', '109', '122', '165', '211', '219', '245', '261', '309', '379', '401', '410', '419', '441', '512', '514', '546', '549', '553', '567', '568', '584', '587', '606', '617', '653', '657', '690', '714', '745', '763', '786', '809', '819', '823', '845', '912', '945']
['3', '42', '54', '68', '80', '90', '91', '128', '130', '151', '164', '229', '235', '319', '324', '340', '377', '382', '466', '490', '492', '495', '554', '562', '569', '609', '626', '666', '679', '704', '767', '794', '795', '835', '856', '870', '905', '907', '948', '949']
['5', '21', '40', '112', '115', '175', '182', '200', '202', '204', '241', '270', '273', '299', '316', '321', '329', '358', '375', '383', '406', '428', '482', '528', '557', '608', '613', '621', '654', '667', '749', '822', '920', '931', '968', '985', '986', '987', '988', '989']
['27', '45', '93', '173', '210', '226', '257', '275', '289', '304', '352', '356', '365', '374', '376', '378', '395', '450', '468', '477', '489', '506', '521', '542', '585', '628', '634', '641', '705', '726', '774', '787', '803', '834', '840', '880', '913', '953', '958', '961']
['12', '47', '75', '104', '108', '118', '133', '194', '233', '292', '315', '325', '333', '367', '420', '481', '574', '591', '623', '635', '640', '646', '662', '672', '691', '730', '731', '747', '837', '843', '852', '884', '917', '934', '973', '974', '977', '978', '983', '990']
