['59', '991', '979', '523', '968', '781', '725', '514', '887', '27', '265', '736', '43', '65', '306', '268', '399', '361', '829', '944']
['443', '414', '839', '64', '312', '57', '934', '985', '601', '962', '177', '369', '83', '970', '197', '73', '910', '347', '517', '147']
['188', '319', '289', '660', '813', '134', '48', '232', '448', '595', '109', '666', '222', '893', '387', '973', '366', '281', '342', '357']
['472', '746', '180', '853', '125', '329', '515', '591', '820', '862', '439', '890', '135', '578', '499', '155', '139', '294', '171', '370']
['675', '737', '235', '218', '688', '314', '671', '646', '42', '473', '340', '290', '648', '461', '453', '49', '3', '945', '924', '82']
['749', '914', '752', '900', '799', '993', '699', '612', '551', '778', '825', '482', '742', '529', '793', '585', '906', '518', '858', '739']
['78', '204', '321', '470', '106', '549', '556', '264', '475', '477', '599', '26', '485', '572', '644', '276', '653', '603', '390', '275']
['864', '87', '164', '153', '785', '917', '766', '741', '954', '892', '779', '920', '847', '700', '691', '712', '17', '141', '116', '60']
['208', '344', '327', '157', '505', '266', '20', '267', '939', '131', '933', '220', '929', '279', '428', '457', '497', '534', '328', '194']
['634', '774', '753', '16', '935', '819', '891', '686', '608', '947', '896', '684', '625', '750', '635', '908', '863', '615', '605', '754']
['363', '68', '19', '230', '247', '351', '488', '343', '418', '483', '463', '41', '364', '384', '427', '438', '494', '149', '412', '199']
['596', '663', '878', '508', '698', '789', '823', '866', '870', '840', '528', '179', '715', '812', '560', '676', '682', '792', '639', '865']
['325', '39', '97', '173', '192', '346', '144', '269', '916', '91', '193', '206', '128', '921', '959', '307', '931', '393', '66', '288']
['788', '768', '769', '782', '802', '504', '563', '689', '713', '722', '745', '856', '801', '466', '590', '462', '211', '678', '775', '680']
['990', '958', '11', '946', '165', '207', '215', '146', '184', '911', '163', '95', '80', '181', '31', '860', '89', '229', '223', '104']
['362', '252', '535', '297', '379', '454', '259', '581', '308', '355', '423', '540', '538', '469', '435', '437', '445', '331', '404', '271']
['744', '817', '791', '978', '679', '951', '655', '703', '727', '770', '723', '589', '610', '828', '872', '598', '751', '711', '907', '783']
['71', '52', '182', '36', '989', '55', '33', '176', '105', '113', '98', '154', '94', '102', '186', '999', '74', '14', '115', '44']
['795', '759', '326', '629', '697', '395', '555', '359', '396', '640', '771', '253', '832', '440', '695', '287', '664', '702', '365', '498']
