['13', '78', '107', '201', '300', '363', '401', '451', '498', '470']
['64', '100', '150', '192', '200', '227', '249', '327', '350', '388']
['117', '122', '167', '217', '267', '308', '311', '405', '417', '442']
['12', '62', '112', '162', '212', '229', '312', '362', '412', '462']
['8', '57', '69', '108', '157', '199', '207', '238', '257', '408']
['33', '83', '133', '183', '233', '283', '333', '433', '483', '481']
['3', '53', '203', '228', '253', '270', '303', '353', '403', '453']
['41', '91', '141', '191', '241', '291', '341', '364', '391', '441']
['22', '24', '46', '124', '224', '272', '274', '324', '424', '474']
['55', '140', '155', '182', '213', '355', '386', '434', '476', '426']
['32', '70', '82', '132', '149', '151', '232', '234', '282', '284']
['38', '89', '189', '239', '289', '302', '339', '389', '439', '494']
['27', '158', '163', '164', '177', '214', '255', '425', '463', '429']
['21', '71', '121', '171', '221', '271', '371', '421', '471', '415']
['16', '36', '67', '74', '84', '95', '211', '294', '295', '438']
['10', '17', '39', '42', '101', '103', '174', '264', '382', '484']
['52', '72', '152', '280', '330', '357', '360', '374', '422', '496']
['23', '73', '173', '223', '273', '323', '352', '367', '373', '423']
['114', '184', '260', '310', '336', '414', '461', '480', '495', '485']
['18', '68', '110', '118', '168', '218', '268', '318', '368', '418']
['145', '160', '285', '305', '322', '334', '335', '385', '410', '460']
['128', '178', '205', '278', '293', '307', '378', '436', '478', '489']
['25', '75', '125', '175', '225', '250', '275', '325', '375', '475']
['5', '77', '86', '113', '123', '127', '222', '263', '407', '432']
['1', '66', '116', '166', '216', '266', '316', '366', '416', '430']
['19', '37', '50', '87', '137', '187', '237', '287', '419', '487']
['35', '85', '126', '135', '185', '235', '276', '351', '435', '455']
['143', '188', '193', '210', '243', '258', '343', '393', '493', '466']
['11', '61', '111', '208', '358', '361', '377', '400', '402', '465']
['15', '58', '65', '115', '165', '215', '265', '297', '315', '365']
['96', '146', '196', '246', '296', '338', '346', '396', '446', '468']
['153', '314', '321', '332', '340', '406', '454', '464', '469', '482']
['119', '159', '176', '209', '262', '301', '329', '356', '359', '379']
['14', '28', '79', '139', '251', '279', '328', '369', '384', '428']
['9', '92', '142', '242', '292', '342', '376', '443', '492', '473']
['0', '26', '40', '60', '90', '190', '240', '390', '440', '490']
['29', '30', '51', '80', '277', '290', '317', '392', '458', '479']
['43', '130', '226', '230', '319', '349', '372', '380', '399', '499']
['44', '94', '144', '194', '244', '344', '347', '394', '444', '472']
['45', '93', '102', '245', '326', '395', '445', '452', '456', '467']
['47', '97', '147', '197', '247', '252', '397', '413', '447', '497']
['4', '54', '76', '104', '154', '204', '254', '261', '304', '354']
['88', '138', '156', '179', '219', '256', '288', '345', '488', '370']
['20', '59', '259', '269', '306', '309', '313', '409', '477', '486']
['31', '81', '131', '181', '231', '281', '331', '381', '431', '459']
['49', '99', '129', '169', '195', '206', '236', '299', '404', '491']
['48', '98', '148', '198', '202', '248', '298', '348', '398', '448']
['2', '105', '161', '180', '337', '387', '427', '437', '449', '411']
['109', '120', '136', '170', '172', '186', '220', '286', '320', '420']
['6', '7', '34', '56', '63', '106', '134', '383', '457', '450']
