['24', '78', '82', '139', '298', '304', '346', '354', '398', '476']
['11', '35', '379', '395', '540', '598', '614', '661', '757', '792']
['339', '361', '370', '431', '454', '460', '491', '542', '547', '717']
['48', '50', '134', '342', '364', '407', '428', '495', '729', '750']
['4', '29', '61', '64', '74', '110', '132', '347', '373', '382']
['70', '244', '275', '287', '328', '380', '435', '680', '686', '708']
['160', '169', '173', '310', '312', '333', '505', '623', '628', '770']
['10', '56', '209', '213', '268', '280', '327', '403', '409', '423']
['16', '76', '88', '222', '236', '319', '527', '567', '720', '753']
['509', '531', '549', '568', '609', '647', '659', '710', '718', '728']
['53', '89', '186', '219', '224', '272', '320', '358', '441', '530']
['83', '234', '271', '289', '334', '372', '374', '459', '532', '650']
['6', '207', '261', '303', '318', '340', '566', '604', '656', '677']
['96', '106', '212', '306', '307', '408', '485', '516', '580', '740']
['119', '127', '146', '147', '200', '256', '291', '322', '357', '429']
['2', '187', '220', '292', '564', '693', '704', '742', '760', '767']
['108', '122', '273', '324', '526', '662', '732', '743', '771', '778']
['9', '100', '315', '349', '512', '555', '587', '590', '599', '627']
['98', '107', '238', '297', '464', '553', '696', '737', '741', '744']
['63', '155', '226', '255', '344', '690', '712', '746', '754', '765']
['215', '259', '260', '424', '574', '683', '685', '694', '731', '756']
['15', '66', '177', '235', '263', '278', '350', '405', '433', '449']
['80', '240', '419', '455', '490', '518', '603', '622', '631', '671']
['93', '138', '178', '217', '262', '301', '418', '426', '478', '521']
['47', '51', '202', '264', '399', '430', '498', '583', '593', '651']
['20', '22', '31', '135', '168', '191', '199', '362', '465', '501']
['73', '125', '266', '293', '368', '570', '611', '699', '790', '796']
['90', '123', '176', '189', '305', '376', '529', '565', '706', '722']
['65', '99', '158', '185', '227', '250', '329', '348', '360', '558']
['124', '161', '252', '290', '300', '387', '480', '494', '514', '655']
['12', '109', '284', '643', '645', '674', '681', '684', '719', '721']
['30', '143', '388', '515', '582', '600', '629', '689', '716', '738']
['34', '192', '254', '461', '752', '776', '781', '782', '794', '797']
['299', '356', '400', '481', '520', '559', '592', '664', '711', '763']
['14', '149', '150', '193', '228', '390', '615', '657', '705', '762']
['42', '45', '52', '95', '411', '421', '440', '487', '625', '630']
['144', '314', '377', '443', '493', '534', '581', '594', '642', '646']
['41', '57', '208', '317', '384', '432', '474', '502', '504', '513']
['194', '282', '285', '351', '396', '420', '619', '636', '691', '749']
['33', '166', '279', '308', '437', '640', '739', '784', '789', '798']
['68', '126', '230', '496', '572', '602', '692', '698', '703', '751']
['183', '223', '401', '536', '543', '638', '758', '775', '777', '785']
['46', '59', '114', '121', '170', '233', '276', '468', '571', '649']
['55', '67', '72', '105', '422', '499', '517', '533', '665', '786']
['91', '102', '458', '523', '544', '701', '745', '747', '768', '772']
['225', '309', '391', '397', '462', '473', '528', '548', '561', '563']
['111', '164', '203', '232', '246', '286', '296', '588', '695', '724']
['17', '136', '311', '367', '385', '442', '538', '546', '554', '666']
['101', '184', '197', '221', '389', '569', '595', '621', '639', '667']
['13', '21', '211', '381', '416', '446', '482', '492', '579', '607']
['62', '92', '97', '151', '179', '248', '336', '338', '345', '444']
['210', '218', '245', '470', '584', '591', '613', '658', '697', '726']
['131', '241', '242', '283', '556', '601', '633', '700', '714', '734']
['0', '137', '174', '190', '195', '295', '406', '436', '448', '453']
['44', '103', '253', '270', '365', '375', '402', '414', '472', '586']
['104', '239', '321', '410', '510', '576', '596', '626', '723', '761']
['77', '157', '204', '332', '366', '425', '434', '467', '483', '507']
['1', '75', '87', '128', '180', '249', '265', '323', '413', '457']
['8', '28', '142', '196', '231', '247', '392', '451', '469', '471']
['145', '352', '606', '624', '637', '652', '663', '679', '727', '748']
['60', '117', '167', '171', '267', '439', '578', '585', '632', '635']
['37', '58', '85', '113', '198', '330', '371', '394', '412', '450']
['32', '84', '148', '153', '159', '181', '725', '735', '773', '788']
['23', '49', '274', '302', '383', '608', '672', '673', '755', '769']
['27', '54', '81', '115', '118', '130', '175', '313', '475', '500']
['7', '38', '43', '188', '206', '258', '353', '463', '713', '780']
['18', '26', '163', '237', '511', '524', '550', '618', '707', '736']
['19', '39', '156', '172', '331', '355', '417', '427', '610', '620']
['251', '337', '363', '497', '503', '551', '557', '577', '612', '676']
['182', '269', '277', '539', '605', '653', '702', '759', '787', '795']
['116', '201', '335', '445', '575', '597', '668', '670', '678', '709']
['25', '69', '641', '644', '730', '733', '764', '774', '791', '793']
['36', '79', '205', '343', '378', '508', '525', '560', '589', '634']
['112', '120', '154', '214', '281', '316', '466', '506', '541', '766']
['71', '129', '140', '288', '359', '489', '522', '535', '552', '562']
['3', '94', '294', '325', '415', '537', '573', '687', '688', '715']
['133', '152', '257', '545', '616', '648', '682', '779', '783', '799']
['5', '162', '243', '477', '519', '617', '654', '660', '669', '675']
['229', '341', '369', '386', '447', '456', '479', '484', '486', '488']
['40', '86', '141', '165', '216', '326', '393', '404', '438', '452']
