['842', '757', '25', '929', '833']
['587', '680', '40', '695', '236']
['121', '956', '382', '983', '60']
['966', '573', '710', '786', '147']
['253', '209', '723', '450', '711']
['621', '792', '292', '600', '804']
['296', '930', '43', '403', '725']
['218', '909', '347', '859', '325']
['831', '313', '9', '200', '508']
['545', '667', '31', '29', '251']
['241', '66', '605', '581', '592']
['463', '359', '993', '752', '716']
['353', '170', '563', '928', '761']
['853', '267', '705', '235', '664']
['739', '946', '648', '186', '885']
['191', '978', '220', '799', '232']
['706', '402', '646', '106', '911']
['915', '970', '435', '386', '189']
['764', '987', '316', '460', '82']
['217', '461', '618', '75', '161']
['913', '712', '787', '233', '844']
['168', '56', '512', '0', '102']
['779', '42', '445', '543', '448']
['408', '960', '892', '34', '103']
['38', '422', '59', '473', '679']
['969', '856', '365', '371', '625']
['566', '312', '638', '639', '499']
['250', '391', '886', '150', '634']
['491', '781', '223', '968', '767']
['444', '423', '588', '400', '535']
['938', '33', '277', '128', '416']
['594', '479', '350', '743', '231']
['699', '500', '165', '949', '243']
['883', '54', '214', '229', '273']
['26', '649', '407', '967', '948']
['281', '734', '49', '366', '383']
['413', '873', '784', '291', '596']
['72', '963', '718', '758', '524']
['650', '768', '515', '355', '110']
['2', '274', '174', '807', '47']
['617', '410', '544', '454', '455']
['972', '314', '20', '48', '577']
['105', '997', '717', '19', '742']
['215', '225', '475', '420', '971']
['388', '171', '736', '1', '457']
['921', '556', '319', '888', '976']
['612', '41', '77', '778', '125']
['996', '50', '421', '645', '237']
['297', '613', '958', '452', '851']
['489', '490', '496', '370', '574']
['337', '138', '559', '579', '64']
['805', '176', '731', '992', '582']
['920', '753', '575', '249', '551']
['642', '384', '570', '925', '632']
['614', '441', '207', '922', '572']
['975', '7', '464', '398', '829']
['569', '16', '765', '4', '560']
['474', '610', '486', '482', '360']
['656', '910', '801', '874', '523']
['129', '534', '187', '415', '73']
['861', '278', '681', '221', '394']
['548', '173', '995', '518', '409']
['506', '160', '259', '428', '432']
['442', '839', '591', '916', '918']
['513', '940', '468', '935', '346']
['655', '119', '744', '950', '810']
['430', '65', '412', '824', '289']
['876', '318', '675', '55', '858']
['417', '867', '841', '114', '894']
['308', '315', '18', '811', '287']
['814', '51', '941', '424', '791']
['158', '999', '728', '361', '571']
['962', '564', '131', '943', '100']
['230', '438', '335', '818', '561']
['498', '584', '324', '257', '863']
['30', '406', '139', '882', '497']
['881', '939', '494', '71', '891']
['78', '5', '815', '501', '451']
['144', '88', '434', '902', '477']
['985', '652', '336', '363', '611']
['94', '924', '843', '27', '697']
['339', '658', '857', '849', '953']
['227', '727', '22', '262', '682']
['162', '326', '507', '345', '97']
['414', '907', '136', '821', '401']
['803', '519', '399', '440', '898']
['825', '381', '431', '674', '238']
['80', '90', '817', '205', '823']
['889', '540', '295', '672', '644']
['872', '219', '372', '932', '301']
['8', '635', '660', '748', '322']
['529', '896', '143', '293', '393']
['264', '89', '782', '36', '307']
['759', '516', '771', '619', '375']
['788', '196', '185', '620', '822']
['954', '662', '502', '108', '947']
['509', '122', '738', '944', '418']
['268', '951', '449', '341', '934']
['989', '912', '583', '769', '487']
['686', '845', '212', '61', '988']
