['565', '936', '35', '194', '736', '250', '80', '835', '418', '490', '773', '390', '154', '411', '165', '932', '714', '344', '742', '187', '900', '234', '434', '118', '175', '428', '819', '620', '429', '430']
['614', '257', '341', '292', '693', '69', '609', '516', '153', '813', '785', '324', '638', '159', '145', '893', '218', '314', '768', '718', '505', '705', '22', '21', '382', '697', '268', '511', '839', '623']
['170', '844', '859', '188', '445', '370', '412', '205', '732', '361', '706', '172', '482', '468', '222', '270', '436', '745', '689', '441', '300', '358', '207', '94', '398', '224', '916', '262', '185', '821']
['302', '762', '461', '213', '875', '407', '70', '858', '603', '568', '838', '391', '902', '748', '554', '535', '730', '264', '508', '360', '311', '273', '345', '456', '469', '421', '329', '406', '683', '643']
['864', '308', '43', '239', '252', '335', '526', '778', '914', '624', '667', '286', '17', '747', '45', '566', '927', '112', '63', '793', '832', '295', '230', '85', '672', '351', '380', '233', '282', '217']
['74', '854', '278', '296', '671', '277', '33', '266', '76', '510', '926', '552', '741', '585', '397', '493', '415', '722', '660', '353', '93', '812', '720', '197', '764', '82', '379', '702', '310', '583']
['425', '13', '649', '283', '115', '645', '317', '946', '304', '46', '641', '892', '740', '521', '191', '156', '334', '373', '271', '381', '543', '575', '169', '108', '174', '599', '24', '863', '584', '419']
['8', '758', '827', '664', '362', '487', '909', '247', '673', '235', '60', '331', '255', '578', '3', '657', '290', '77', '244', '937', '787', '783', '896', '817', '670', '513', '823', '540', '142', '842']
['514', '272', '423', '471', '182', '132', '184', '403', '668', '523', '201', '652', '686', '799', '162', '531', '97', '27', '483', '332', '629', '857', '12', '232', '4', '694', '890', '681', '616', '464']
['248', '210', '96', '709', '550', '574', '843', '903', '285', '572', '522', '765', '608', '704', '826', '51', '721', '459', '330', '333', '66', '114', '328', '782', '166', '229', '666', '820', '882', '56']
['940', '651', '59', '463', '910', '869', '621', '771', '710', '595', '288', '527', '695', '945', '751', '388', '852', '476', '98', '606', '123', '307', '338', '105', '517', '284', '402', '52', '604', '475']
['636', '236', '356', '478', '365', '811', '179', '192', '416', '368', '674', '326', '601', '443', '53', '724', '321', '570', '567', '137', '121', '253', '473', '656', '502', '790', '716', '479', '728', '933']
['65', '879', '862', '679', '225', '602', '713', '117', '84', '528', '659', '410', '176', '11', '375', '928', '141', '39', '757', '199', '348', '173', '422', '372', '731', '147', '699', '67', '847', '935']
['880', '760', '251', '746', '545', '243', '363', '433', '377', '440', '376', '707', '923', '405', '32', '769', '539', '789', '504', '265', '474', '529', '582', '558', '750', '47', '354', '38', '29', '559']
['680', '336', '687', '889', '805', '562', '349', '106', '717', '23', '495', '856', '431', '635', '744', '152', '437', '692', '221', '109', '7', '640', '401', '68', '374', '41', '685', '634', '840', '342']
['116', '399', '470', '619', '886', '796', '938', '648', '908', '409', '650', '220', '788', '178', '432', '560', '571', '427', '298', '14', '735', '703', '91', '547', '316', '209', '776', '215', '639', '208']
['211', '171', '739', '871', '814', '139', '770', '642', '312', '646', '580', '48', '196', '784', '231', '458', '366', '874', '607', '876', '899', '83', '824', '506', '130', '877', '128', '791', '450', '644']
['622', '576', '841', '245', '851', '848', '136', '549', '698', '126', '593', '249', '125', '364', '78', '810', '37', '206', '610', '591', '129', '795', '151', '214', '294', '600', '870', '394', '417', '258']
['371', '387', '131', '632', '446', '611', '385', '64', '756', '62', '708', '10', '396', '548', '589', '183', '237', '809', '339', '779', '149', '561', '180', '618', '712', '293', '34', '18', '133', '352']
['885', '797', '655', '466', '101', '287', '127', '447', '524', '107', '625', '160', '177', '343', '533', '357', '831', '546', '906', '119', '594', '772', '305', '138', '934', '612', '753', '57', '72', '924']
['690', '157', '743', '355', '881', '442', '88', '929', '498', '424', '140', '413', '439', '801', '631', '9', '322', '759', '919', '110', '503', '467', '465', '904', '551', '462', '489', '238', '303', '542']
['761', '497', '915', '1', '563', '189', '895', '90', '5', '754', '384', '393', '486', '815', '216', '104', '829', '944', '866', '726', '31', '802', '327', '637', '590', '626', '89', '592', '181', '155']
['628', '414', '143', '921', '737', '488', '688', '378', '662', '454', '849', '86', '806', '318', '682', '87', '598', '818', '61', '254', '291', '202', '148', '347', '804', '830', '92', '803', '541', '873']
