['870', '289', '895', '894', '886', '874', '896', '586', '879', '229', '327', '885', '897', '892', '375', '881', '884', '266', '899', '878', '332', '891', '898', '880', '333', '890', '788', '876', '882', '156']
['873', '255', '53', '166', '784', '875', '56', '877', '144', '404', '262', '575', '466', '111', '189', '101', '893', '424', '857', '872', '244', '816', '853', '611', '258', '183', '733', '869', '89', '889']
['532', '340', '573', '219', '33', '516', '182', '6', '32', '453', '374', '839', '367', '296', '44', '492', '164', '852', '123', '888', '551', '721', '448', '173', '434', '687', '887', '615', '562', '871']
['216', '82', '73', '271', '114', '122', '726', '129', '427', '98', '234', '543', '622', '223', '67', '830', '18', '582', '538', '139', '846', '514', '55', '51', '138', '88', '256', '585', '725', '571']
['321', '95', '346', '464', '841', '423', '512', '751', '732', '85', '362', '396', '43', '741', '243', '859', '696', '591', '126', '160', '749', '121', '35', '386', '9', '330', '13', '587', '795', '693']
['625', '390', '215', '436', '823', '405', '387', '592', '624', '108', '477', '803', '557', '665', '48', '653', '559', '699', '407', '723', '34', '242', '646', '837', '250', '65', '257', '50', '312', '458']
['599', '606', '211', '711', '42', '116', '303', '597', '864', '347', '756', '791', '248', '686', '623', '133', '209', '518', '703', '883', '660', '740', '631', '488', '298', '825', '720', '556', '840', '420']
['366', '628', '454', '579', '132', '522', '267', '389', '438', '87', '249', '418', '608', '391', '461', '187', '528', '162', '554', '704', '331', '147', '176', '636', '641', '307', '627', '369', '443', '191']
['790', '761', '14', '128', '163', '348', '773', '502', '745', '83', '214', '715', '17', '483', '228', '763', '822', '717', '70', '124', '504', '758', '862', '808', '311', '236', '292', '757', '4', '212']
['513', '712', '68', '678', '780', '793', '535', '195', '760', '656', '37', '143', '46', '744', '789', '688', '74', '25', '649', '702', '658', '861', '689', '120', '710', '3', '553', '778', '605', '764']
['610', '666', '481', '719', '695', '334', '413', '281', '261', '222', '358', '349', '645', '352', '600', '231', '729', '338', '476', '527', '503', '722', '355', '370', '515', '523', '677', '415', '411', '325']
['309', '498', '363', '59', '301', '175', '755', '304', '103', '343', '26', '232', '76', '12', '277', '419', '561', '614', '730', '594', '750', '230', '264', '181', '429', '545', '353', '428', '161', '613']
['781', '775', '7', '634', '286', '373', '848', '71', '322', '27', '15', '19', '316', '674', '351', '237', '99', '796', '679', '29', '210', '326', '814', '39', '657', '170', '184', '269', '63', '350']
['567', '400', '604', '394', '409', '578', '685', '659', '412', '798', '376', '455', '851', '473', '647', '475', '433', '478', '734', '714', '644', '621', '459', '425', '651', '609', '595', '432', '737', '426']
['197', '341', '246', '36', '441', '456', '92', '437', '104', '21', '435', '192', '290', '282', '500', '536', '308', '149', '360', '414', '220', '208', '863', '306', '137', '490', '217', '865', '382', '233']
['706', '62', '700', '86', '106', '777', '548', '807', '748', '58', '94', '90', '797', '692', '588', '8', '598', '72', '180', '849', '835', '813', '607', '24', '809', '152', '671', '769', '866', '834']
['251', '235', '226', '469', '637', '288', '451', '565', '268', '295', '499', '697', '531', '199', '577', '690', '470', '383', '572', '361', '626', '539', '406', '299', '569', '546', '297', '521', '397', '372']
['118', '718', '833', '772', '727', '179', '190', '817', '196', '742', '23', '185', '713', '776', '5', '134', '765', '112', '47', '2', '113', '109', '186', '716', '850', '782', '61', '731', '168', '178']
['399', '735', '444', '530', '381', '635', '450', '393', '497', '596', '253', '487', '468', '463', '654', '200', '447', '354', '314', '320', '804', '526', '392', '806', '287', '439', '547', '398', '203', '445']
['119', '125', '115', '337', '812', '245', '319', '193', '329', '815', '284', '159', '97', '78', '410', '20', '335', '356', '395', '75', '270', '359', '69', '135', '49', '345', '254', '294', '22', '136']
['831', '508', '868', '157', '153', '507', '11', '57', '708', '642', '533', '705', '787', '142', '847', '540', '616', '486', '100', '829', '105', '855', '828', '811', '650', '618', '460', '632', '771', '563']
['568', '542', '836', '401', '479', '694', '534', '821', '824', '293', '519', '495', '826', '669', '342', '590', '629', '442', '273', '402', '165', '472', '752', '302', '449', '310', '549', '566', '474', '221']
['867', '408', '818', '844', '854', '146', '379', '384', '683', '493', '364', '238', '698', '430', '377', '845', '564', '431', '38', '465', '856', '1', '638', '207', '707', '738', '102', '201', '368', '640']
['860', '167', '842', '202', '770', '576', '140', '541', '633', '265', '682', '172', '494', '709', '416', '40', '285', '259', '691', '471', '783', '318', '832', '378', '570', '41', '544', '728', '670', '150']
['673', '560', '278', '171', '422', '505', '446', '206', '529', '385', '263', '357', '520', '617', '275', '603', '54', '158', '127', '77', '344', '675', '639', '317', '457', '496', '672', '315', '45', '380']
['601', '482', '313', '276', '388', '491', '283', '759', '93', '766', '676', '583', '753', '151', '593', '762', '680', '652', '552', '736', '224', '724', '371', '584', '417', '272', '643', '489', '91', '213']
['148', '754', '509', '510', '786', '440', '198', '247', '558', '619', '177', '820', '589', '630', '339', '555', '194', '667', '467', '462', '28', '550', '810', '52', '328', '365', '280', '746', '620', '130']
['260', '141', '452', '10', '239', '794', '31', '131', '827', '480', '792', '681', '684', '537', '612', '785', '801', '300', '66', '501', '774', '174', '747', '768', '218', '506', '145', '739', '96', '80']
['305', '511', '602', '517', '655', '227', '525', '188', '64', '205', '155', '274', '336', '84', '79', '107', '0', '252', '581', '779', '291', '421', '154', '743', '767', '225', '241', '204', '117', '858']
['60', '664', '662', '485', '574', '799', '524', '701', '169', '661', '403', '484', '802', '800', '81', '240', '279', '668', '30', '323', '16', '648', '805', '838', '819', '324', '110', '843', '580', '663']
