['543', '507', '706', '27', '733', '726', '894', '231', '161', '189', '602', '318', '44', '684', '11', '371', '58', '583', '46', '415', '606', '103', '576', '382', '651', '300', '633', '886', '512', '129']
['765', '781', '773', '427', '357', '310', '334', '234', '768', '873', '91', '304', '850', '891', '728', '37', '599', '392', '745', '475', '646', '258', '383', '810', '509', '422', '280', '741', '549', '590']
['789', '751', '860', '650', '737', '398', '348', '268', '511', '200', '825', '181', '301', '172', '420', '426', '431', '613', '769', '147', '164', '59', '356', '575', '34', '57', '261', '626', '266', '668']
['366', '730', '265', '826', '875', '340', '155', '567', '248', '713', '600', '632', '71', '897', '116', '235', '800', '510', '764', '456', '282', '140', '841', '458', '849', '222', '322', '752', '243', '463']
['727', '240', '320', '312', '547', '480', '827', '109', '400', '409', '863', '683', '369', '139', '482', '541', '874', '152', '127', '545', '250', '746', '588', '370', '748', '465', '653', '736', '710', '287']
['359', '642', '780', '855', '133', '630', '767', '411', '187', '835', '839', '204', '551', '879', '678', '95', '701', '75', '375', '433', '794', '881', '865', '643', '211', '170', '379', '407', '297', '631']
['742', '889', '13', '460', '416', '156', '679', '1', '538', '743', '638', '339', '323', '86', '389', '130', '539', '569', '851', '159', '899', '818', '711', '506', '478', '178', '289', '317', '518', '367']
['402', '50', '175', '457', '536', '114', '573', '66', '774', '581', '757', '791', '519', '453', '408', '697', '832', '386', '703', '118', '880', '321', '16', '328', '88', '672', '423', '373', '496', '325']
['62', '870', '247', '53', '412', '845', '14', '597', '252', '688', '351', '347', '803', '136', '828', '123', '346', '670', '98', '469', '208', '393', '821', '41', '18', '461', '691', '609', '345', '330']
['51', '138', '146', '802', '877', '731', '557', '162', '603', '43', '593', '744', '273', '641', '314', '203', '358', '126', '424', '859', '566', '213', '226', '2', '579', '229', '92', '104', '39', '179']
['686', '205', '753', '699', '562', '236', '837', '419', '490', '698', '792', '384', '491', '327', '5', '546', '586', '394', '343', '295', '704', '661', '368', '260', '442', '779', '253', '344', '378', '883']
['468', '811', '866', '194', '838', '700', '635', '188', '33', '639', '275', '636', '664', '232', '681', '141', '858', '813', '404', '869', '113', '898', '498', '464', '451', '847', '284', '716', '210', '798']
['190', '570', '349', '288', '107', '241', '784', '256', '654', '436', '888', '808', '242', '296', '659', '762', '550', '604', '97', '724', '634', '530', '132', '833', '846', '122', '598', '228', '96', '884']
['621', '534', '799', '21', '149', '80', '758', '293', '311', '299', '856', '729', '355', '473', '198', '796', '665', '38', '0', '332', '65', '220', '554', '594', '761', '876', '238', '815', '667', '834']
['372', '120', '890', '585', '239', '274', '505', '418', '100', '785', '144', '775', '93', '432', '285', '695', '592', '578', '385', '857', '645', '308', '201', '177', '766', '25', '124', '354', '8', '718']
['526', '90', '514', '145', '712', '629', '663', '720', '237', '843', '595', '439', '270', '500', '128', '444', '484', '67', '302', '135', '399', '42', '721', '316', '290', '165', '605', '167', '303', '454']
['816', '214', '185', '885', '676', '363', '6', '364', '99', '336', '352', '864', '680', '47', '425', '735', '17', '77', '723', '199', '561', '83', '892', '163', '544', '443', '614', '707', '734', '628']
['108', '437', '230', '685', '580', '40', '82', '842', '819', '381', '64', '479', '732', '255', '440', '560', '337', '640', '522', '553', '673', '148', '417', '207', '111', '671', '36', '414', '675', '174']
['527', '771', '830', '528', '715', '397', '622', '277', '777', '291', '441', '820', '647', '292', '582', '182', '525', '801', '689', '787', '831', '186', '474', '20', '70', '166', '524', '195', '224', '587']
['778', '106', '824', '84', '72', '309', '281', '806', '516', '105', '584', '449', '249', '738', '196', '267', '623', '421', '7', '537', '619', '387', '867', '657', '176', '471', '754', '882', '221', '173']
['30', '529', '306', '326', '607', '477', '410', '572', '487', '125', '272', '377', '615', '110', '616', '403', '476', '555', '217', '656', '552', '206', '793', '540', '335', '406', '85', '218', '74', '413']
['739', '548', '749', '184', '61', '844', '608', '625', '558', '143', '776', '329', '251', '687', '341', '405', '19', '840', '315', '577', '245', '493', '624', '153', '637', '508', '388', '294', '338', '246']
['750', '279', '515', '212', '812', '215', '521', '692', '15', '853', '12', '589', '694', '705', '298', '79', '571', '783', '361', '878', '542', '360', '283', '438', '160', '660', '814', '714', '342', '655']
['574', '747', '374', '23', '836', '137', '502', '32', '223', '192', '31', '517', '868', '564', '434', '486', '740', '763', '430', '353', '772', '391', '627', '658', '696', '157', '682', '797', '822', '786']
['666', '158', '788', '677', '63', '428', '445', '49', '862', '26', '790', '809', '472', '618', '3', '331', '497', '22', '450', '117', '725', '848', '481', '76', '871', '568', '467', '852', '350', '112']
['52', '429', '896', '151', '55', '134', '674', '523', '610', '73', '259', '395', '180', '276', '759', '601', '376', '45', '94', '648', '702', '29', '154', '87', '278', '10', '121', '717', '861', '183']
['209', '494', '225', '68', '501', '559', '895', '893', '28', '644', '60', '227', '305', '333', '872', '612', '556', '782', '669', '131', '455', '115', '390', '492', '24', '829', '362', '171', '193', '69']
['488', '466', '102', '396', '513', '262', '709', '446', '462', '693', '807', '448', '307', '216', '56', '887', '495', '489', '565', '4', '535', '264', '435', '817', '504', '533', '286', '313', '452', '150']
['319', '804', '756', '591', '81', '380', '271', '324', '101', '649', '48', '269', '470', '263', '722', '499', '89', '191', '202', '119', '652', '169', '611', '197', '708', '78', '447', '620', '459', '244']
['770', '485', '755', '54', '719', '823', '532', '596', '219', '257', '254', '233', '520', '795', '483', '563', '760', '9', '617', '690', '854', '168', '365', '142', '35', '401', '662', '503', '531', '805']
