['25', '79', '83', '140', '299', '305', '347', '355', '399', '477']
['12', '36', '380', '396', '481', '541', '615', '662', '681', '758']
['340', '362', '371', '432', '455', '461', '492', '543', '548', '661']
['49', '51', '135', '343', '365', '408', '429', '496', '718', '730']
['5', '30', '62', '65', '75', '111', '133', '348', '374', '383']
['71', '245', '276', '288', '329', '436', '687', '709', '714', '745']
['161', '170', '174', '313', '334', '506', '624', '629', '786', '788']
['11', '57', '210', '214', '269', '328', '404', '410', '424', '454']
['17', '77', '89', '223', '237', '320', '528', '568', '721', '754']
['510', '532', '550', '569', '610', '648', '660', '711', '719', '729']
['54', '90', '187', '220', '225', '241', '273', '359', '442', '643']
['84', '235', '272', '290', '335', '373', '375', '460', '533', '651']
['7', '208', '262', '304', '319', '341', '567', '605', '657', '678']
['97', '107', '213', '307', '308', '409', '486', '517', '531', '581']
['120', '128', '147', '148', '201', '257', '292', '323', '358', '430']
['3', '188', '221', '293', '565', '694', '705', '743', '768', '780']
['109', '123', '274', '325', '527', '663', '733', '741', '744', '779']
['10', '101', '316', '350', '513', '556', '563', '588', '600', '628']
['99', '108', '239', '298', '465', '501', '554', '697', '738', '742']
['64', '156', '227', '256', '345', '601', '713', '747', '755', '777']
['216', '260', '261', '425', '575', '684', '686', '695', '732', '757']
['16', '67', '178', '236', '264', '279', '351', '406', '434', '450']
['81', '420', '456', '519', '604', '623', '632', '672', '677', '766']
['94', '139', '179', '218', '263', '302', '419', '427', '479', '522']
['48', '52', '203', '265', '400', '431', '499', '555', '584', '594']
['21', '23', '32', '136', '169', '192', '200', '363', '466', '502']
['74', '126', '267', '294', '361', '369', '571', '612', '700', '789']
['91', '124', '177', '190', '306', '377', '530', '566', '707', '723']
['66', '100', '159', '186', '228', '251', '330', '349', '559', '619']
['125', '162', '253', '291', '388', '495', '515', '656', '706', '710']
['13', '110', '285', '644', '646', '675', '682', '685', '720', '722']
['31', '144', '389', '516', '583', '630', '690', '717', '739', '762']
['35', '193', '255', '462', '753', '771', '782', '783', '795', '798']
['300', '357', '401', '482', '521', '560', '593', '665', '751', '764']
['15', '150', '151', '194', '229', '616', '658', '763', '773', '775']
['43', '46', '53', '96', '412', '422', '441', '488', '626', '631']
['145', '315', '378', '444', '494', '535', '582', '595', '647', '772']
['42', '58', '209', '318', '385', '433', '475', '503', '505', '514']
['195', '283', '286', '301', '352', '397', '620', '637', '692', '750']
['34', '167', '280', '309', '438', '641', '740', '785', '790', '797']
['69', '127', '231', '497', '573', '603', '693', '699', '704', '752']
['184', '224', '402', '445', '544', '639', '759', '776', '778', '791']
['47', '60', '115', '122', '171', '234', '277', '469', '572', '650']
['56', '68', '73', '106', '423', '500', '518', '534', '666', '787']
['92', '103', '459', '524', '545', '702', '746', '748', '769', '793']
['226', '310', '392', '398', '463', '474', '529', '549', '562', '564']
['112', '165', '204', '233', '247', '287', '297', '589', '696', '725']
['18', '137', '312', '368', '381', '386', '443', '491', '539', '547']
['102', '185', '198', '222', '390', '570', '596', '622', '640', '668']
['14', '22', '212', '382', '417', '447', '483', '493', '580', '608']
['63', '93', '98', '152', '180', '249', '337', '339', '346', '421']
['211', '219', '246', '585', '592', '614', '659', '698', '727', '767']
['132', '242', '243', '284', '557', '602', '634', '701', '715', '735']
['1', '138', '175', '196', '296', '407', '437', '449', '537', '652']
['45', '104', '254', '271', '366', '376', '403', '415', '473', '587']
['105', '240', '322', '411', '511', '577', '597', '627', '724', '761']
['78', '158', '205', '333', '367', '426', '435', '468', '484', '508']
['2', '76', '88', '129', '181', '250', '266', '324', '414', '458']
['9', '29', '143', '197', '232', '248', '393', '452', '470', '472']
['146', '353', '607', '625', '638', '653', '664', '680', '728', '749']
['61', '118', '168', '172', '268', '440', '579', '586', '633', '636']
['38', '59', '86', '114', '199', '331', '372', '395', '413', '451']
['33', '85', '149', '154', '160', '182', '471', '591', '726', '736']
['24', '50', '275', '303', '384', '609', '673', '674', '756', '770']
['28', '55', '82', '116', '119', '131', '176', '314', '476', '599']
['8', '39', '44', '189', '207', '259', '354', '391', '464', '781']
['19', '27', '164', '238', '512', '525', '551', '708', '731', '737']
['20', '40', '157', '173', '332', '356', '418', '428', '611', '621']
['252', '338', '364', '498', '504', '552', '558', '578', '613', '691']
['183', '270', '278', '540', '606', '654', '703', '760', '796', '799']
['117', '202', '336', '446', '576', '598', '669', '671', '679', '712']
['26', '70', '191', '642', '645', '667', '734', '765', '792', '794']
['37', '80', '206', '344', '379', '509', '526', '561', '590', '635']
['113', '121', '155', '215', '282', '317', '467', '507', '542', '774']
['72', '130', '141', '289', '360', '489', '490', '523', '536', '553']
['4', '95', '295', '326', '416', '538', '574', '688', '689', '716']
['134', '153', '258', '311', '546', '617', '649', '683', '784']
['6', '163', '244', '281', '478', '520', '618', '655', '670', '676']
['230', '321', '342', '370', '387', '448', '457', '480', '485', '487']
['41', '87', '142', '166', '217', '327', '394', '405', '439', '453']
